tipo_cliente,total_servicos_cliente,valor_total_gasto,dias_desde_ultimo_servico,servicos_unicos_utilizados,idade_veiculo,mes_da_oferta,servico_ofertado,aceitou,count_LICENCIAMENTO,count_TRANSFERÊNCIA,count_VISTORIA,count_REVISTORIA,count_EMISSÃO APTVE,count_EMISSÃO CRLV,count_PLACA CARRO,count_PLACA MOTO,count_PLACA REBOQUE,count_DESBLOQUEIOS,count_CONSULTA TOTAL,count_DECLARAÇÕES
Cliente Final,2,120,444,1,7,1,DESBLOQUEIOS,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1812,0,8,1,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,796,0,8,1,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,24,1,6,1,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,57,1,17,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,7,1,20,1,LICENCIAMENTO,1,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,402,1,5,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,69,1,14,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,367,0,2,1,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1931,0,19,1,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,6,1,22,1,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,2242,0,17,1,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,244,1,10,1,EMISSÃO CRLV,0,0,1,0,0,0,0,0,0,0,0,0,0
