tipo_cliente,total_servicos_cliente,valor_total_gasto,dias_desde_ultimo_servico,servicos_unicos_utilizados,idade_veiculo,HIST_LICENCIAMENTO,HIST_TRANSFERENCIA,HIST_VISTORIA,HIST_REVISTORIA,HIST_EMISSAO_APTVE,HIST_EMISSAO_CRLV,HIST_PLACA_CARRO,HIST_PLACA_MOTO,HIST_PLACA_REBOQUE,HIST_DESBLOQUEIOS,HIST_CONSULTA_TOTAL,HIST_DECLARACOES,target_service
Cliente Final,2,120.0,7,1,20,2,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,1,100.0,512,1,22,0,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,2,120.0,15,1,13,2,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,1,60.0,92,1,19,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,2,120.0,58,1,16,2,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Cliente Final,1,60.0,375,1,6,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,1410,0,19,0,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,1,60.0,375,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,3,180.0,87,1,8,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,1759,0,22,0,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,1,100.0,238,1,20,0,1,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,3,180.0,98,1,10,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,1,40.0,91,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,1,100.0,668,1,16,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,3,180.0,160,1,19,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,0,0.0,488,0,17,0,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,1,40.0,97,1,16,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Parceiro,0,0.0,954,0,3,0,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Parceiro,2,80.0,441,1,13,2,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Parceiro,2,80.0,449,1,15,2,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,452,1,11,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,0,0.0,1967,0,24,0,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,2,120.0,160,1,12,2,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,1,40.0,21,1,10,1,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,3,180.0,432,1,8,3,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,1,60.0,474,1,18,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,1,60.0,504,1,2,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Cliente Final,3,180.0,126,1,13,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,1,40.0,497,1,19,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,3,180.0,381,1,16,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Parceiro,3,120.0,176,1,22,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,80,1,11,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,2,160.0,71,2,9,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,1,60.0,416,1,7,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,0,0.0,503,0,7,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,2,120.0,17,1,11,2,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,1,60.0,129,1,24,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,0,0.0,228,0,22,0,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,0,0.0,1374,0,19,0,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,2,120.0,16,1,1,2,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,1,100.0,271,1,5,0,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,0,0.0,1151,0,5,0,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Parceiro,4,160.0,72,1,20,4,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,5,300.0,14,1,18,5,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Parceiro,1,40.0,539,1,24,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,0,0.0,259,0,14,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,3,180.0,71,1,7,3,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,1,60.0,166,1,10,1,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Parceiro,1,40.0,407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Parceiro,2,80.0,452,1,8,2,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,1,60.0,553,1,8,1,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Parceiro,1,40.0,110,1,23,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,3,180.0,147,1,9,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,0,0.0,1766,0,22,0,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,0,0.0,1887,0,9,0,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,1,60.0,495,1,19,1,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,128,1,4,1,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,2,120.0,129,1,8,2,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Parceiro,3,120.0,63,1,13,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,138,1,13,3,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,1,60.0,469,1,16,1,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,3,180.0,49,1,9,3,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Cliente Final,1,60.0,546,1,2,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,474,1,15,1,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,3,180.0,79,1,24,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,512,1,14,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
